Categoria: Tutte le categorie

Mese,"""Allianz"": (Italia)","""Prima Assicurazioni"": (Italia)"
2020-01,70,3
2020-02,68,5
2020-03,56,4
2020-04,54,2
2020-05,62,6
2020-06,84,8
2020-07,70,6
2020-08,53,3
2020-09,59,7
2020-10,55,6
2020-11,53,9
2020-12,50,8
2021-01,55,10
2021-02,64,10
2021-03,67,10
2021-04,75,11
2021-05,83,13
2021-06,89,12
2021-07,85,11
2021-08,65,11
2021-09,79,13
2021-10,75,13
2021-11,80,14
2021-12,77,13
2022-01,78,16
2022-02,84,16
2022-03,90,17
2022-04,81,17
2022-05,87,24
2022-06,85,23
2022-07,83,21
2022-08,69,17
2022-09,78,18
2022-10,83,18
2022-11,86,15
2022-12,77,13
2023-01,85,13
2023-02,83,14
2023-03,95,16
2023-04,88,16
2023-05,89,18
2023-06,85,19
2023-07,93,20
2023-08,76,17
2023-09,87,19
2023-10,93,21
2023-11,91,20
2023-12,90,17
2024-01,90,22
2024-02,97,22
2024-03,99,21
2024-04,96,15
2024-05,95,14
2024-06,89,17
2024-07,91,20
2024-08,72,13
2024-09,90,16
2024-10,96,18
2024-11,87,18
2024-12,89,17
2025-01,99,22
2025-02,90,23
2025-03,94,24
2025-04,93,21
2025-05,100,22
2025-06,99,23
